"VILL_","VILL_ID","NAME","TYPE","ADM_ID","AMP_ID","PRV_ID","TAM_NAME","AMP_NAME","PRV_NAME","MAIN_ID"
"16226","80","บ้านหาดบ้าย","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120080"
"16227","82","บ้านดอนที่","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120082"
"16232","92","บ้านสองพี่น้อง","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120092"
"16237","101","บ้านเมืองกาญจน์","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120101"
"16249","131","บ้านใหม่เจริญ","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120131"
"16294","232","บ้านห้วยเม็ง","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120232"
"16303","259","บ้านเชียงคาน","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120259"
"16313","275","บ้านทุ่งนาน้อย","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120275"
"16320","304","บ้านหัวเวียง","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120304"
"16326","313","บ้านในเวียง","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120313"
"16330","325","บ้านทุ่งทราย","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120325"
"16334","339","บ้านสบสม","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120339"
"16340","357","บ้านทุ่งดุก","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120357"
"16341","358","บ้านหาดไคร้","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120358"
"16342","360","บ้านโจ้โก้","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120360"
"16352","384","บ้านห้วยเดื่อ (ห้วยข่อยหล่อย)","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120384"
"16364","419","บ้านดอนมหาวัน","v","4120201","41202","412","เวียง","เชียงของ","เชียงราย","4120419"
